"Symbol","Name"
"NYSE:DDD","3D Systems Corporation"
"NYSE:MMM","3M Company"
"NYSE:WBAI","500.com Limited"
"NYSE:WUBA","58.com Inc."
"NYSE:AHC","A.H. Belo Corporation"
"NYSE:ATEN","A10 Networks, Inc."
"NYSE:AAC","AAC Holdings, Inc."
"NYSE:AIR","AAR Corp."
"NYSE:AAN","Aaron&#39;s,  Inc."
"NYSE:ABB","ABB Ltd"
"NYSE:ABT","Abbott Laboratories"
"NYSE:ABBV","AbbVie Inc."
"NYSE:ANF","Abercrombie & Fitch Company"
"NYSE:GCH","Aberdeen Greater China Fund, Inc."
"NYSE:JEQ","Aberdeen Japan Equity Fund, Inc. "
"NYSE:SGF","Aberdeen Singapore Fund, Inc."
"NYSE:ABM","ABM Industries Incorporated"
"NYSE:AKR","Acadia Realty Trust"
"NYSE:ACN","Accenture plc"
"NYSE:ACCO","Acco Brands Corporation"
"NYSE:ACW","Accuride Corporation New"
"NYSE:ATV","Acorn International, Inc."
"NYSE:ATU","Actuant Corporation"
"NYSE:AYI","Acuity Brands Inc"
"NYSE:ADX","Adams Diversified Equity Fund, Inc."
"NYSE:PEO","Adams Natural Resources Fund, Inc."
"NYSE:AGRO","Adecoagro S.A."
"NYSE:ADPT","Adeptus Health Inc."
"NYSE:AAP","Advance Auto Parts Inc"
"NYSE:WMS","Advanced Drainage Systems, Inc."
"NYSE:ASX","Advanced Semiconductor Engineering, Inc."
"NYSE:APFH","AdvancePierre Foods Holdings, Inc."
"NYSE:AAV","Advantage Oil & Gas Ltd"
"NYSE:AVK","Advent Claymore Convertible Securities and Income Fund"
"NYSE:AGC","Advent Claymore Convertible Securities and Income Fund II"
"NYSE:LCM","Advent/Claymore Enhanced Growth & Income Fund"
"NYSE:ACM","AECOM"
"NYSE:ANW","Aegean Marine Petroleum Network Inc."
"NYSE:AEB","Aegon NV"
"NYSE:AED","Aegon NV"
"NYSE:AEG","Aegon NV"
"NYSE:AEH","Aegon NV"
"NYSE:AEK","Aegon NV"
"NYSE:AER","Aercap Holdings N.V."
"NYSE:HIVE","Aerohive Networks, Inc."
"NYSE:AJRD","Aerojet Rocketdyne Holdings, Inc. "
"NYSE:AET","Aetna Inc."
"NYSE:AMG","Affiliated Managers Group, Inc."
"NYSE:MGR","Affiliated Managers Group, Inc."
"NYSE:AFL","Aflac Incorporated"
"NYSE:AFSD","Aflac Incorporated"
"NYSE:MITT","AG Mortgage Investment Trust, Inc."
"NYSE:MITT^A","AG Mortgage Investment Trust, Inc."
"NYSE:MITT^B","AG Mortgage Investment Trust, Inc."
"NYSE:AGCO","AGCO Corporation"
"NYSE:A","Agilent Technologies, Inc."
"NYSE:AEM","Agnico Eagle Mines Limited"
"NYSE:ADC","Agree Realty Corporation"
"NYSE:GRO","Agria Corporation"
"NYSE:AGU","Agrium Inc."
"NYSE:AL","Air Lease Corporation"
"NYSE:APD","Air Products and Chemicals, Inc."
"NYSE:AYR","Aircastle Limited"
"NYSE:AKS","AK Steel Holding Corporation"
"NYSE:ALP^O","Alabama Power Company"
"NYSE:ALG","Alamo Group, Inc."
"NYSE:AGI","Alamos Gold Inc."
"NYSE:ALK","Alaska Air Group, Inc."
"NYSE:AIN","Albany International Corporation"
"NYSE:ALB","Albemarle Corporation"
"NYSE:AA","Alcoa Inc."
"NYSE:AA^B","Alcoa Inc."
"NYSE:ALR","Alere Inc."
"NYSE:ALR^B","Alere Inc."
"NYSE:ALEX","Alexander & Baldwin Holdings, Inc."
"NYSE:ALX","Alexander&#39;s, Inc."
"NYSE:ARE","Alexandria Real Estate Equities, Inc."
"NYSE:ARE^D","Alexandria Real Estate Equities, Inc."
"NYSE:ARE^E","Alexandria Real Estate Equities, Inc."
"NYSE:BABA","Alibaba Group Holding Limited"
"NYSE:Y","Alleghany Corporation"
"NYSE:ATI","Allegheny Technologies Incorporated"
"NYSE:ALLE","Allegion plc"
"NYSE:AGN","Allergan plc."
"NYSE:AGN^A","Allergan plc."
"NYSE:ALE","Allete, Inc."
"NYSE:AKP","Alliance California Municipal Income Fund Inc"
"NYSE:ADS","Alliance Data Systems Corporation"
"NYSE:AFB","Alliance National Municipal Income Fund Inc"
"NYSE:AOI","Alliance One International, Inc."
"NYSE:AWF","Alliance World Dollar Government Fund II"
"NYSE:AB","AllianceBernstein Holding L.P."
"NYSE:LNT","Alliant Energy Corporation"
"NYSE:NCV","AllianzGI Convertible & Income Fund"
"NYSE:NCZ","AllianzGI Convertible & Income Fund II"
"NYSE:ACV","AllianzGI Diversified Income & Convertible Fund"
"NYSE:NIE","AllianzGI Equity & Convertible Income Fund"
"NYSE:NFJ","AllianzGI NFJ Dividend, Interest & Premium Strategy Fund"
"NYSE:AWH","Allied World Assurance Company Holdings, AG"
"NYSE:ALSN","Allison Transmission Holdings, Inc."
"NYSE:ALL","Allstate Corporation (The)"
"NYSE:ALL^A","Allstate Corporation (The)"
"NYSE:ALL^B","Allstate Corporation (The)"
"NYSE:ALL^C","Allstate Corporation (The)"
"NYSE:ALL^D","Allstate Corporation (The)"
"NYSE:ALL^E","Allstate Corporation (The)"
"NYSE:ALL^F","Allstate Corporation (The)"
"NYSE:ALLY","Ally Financial Inc."
"NYSE:ALLY^A","Ally Financial Inc."
"NYSE:ALJ","Alon USA Energy, Inc."
"NYSE:ALDW","Alon USA Partners, LP"
"NYSE:AGD","Alpine Global Dynamic Dividend Fund"
"NYSE:AWP","Alpine Global Premier Properties Fund"
"NYSE:AOD","Alpine Total Dynamic Dividend Fund"
"NYSE:RESI","Altisource Residential Corporation"
"NYSE:MO","Altria Group"
"NYSE:ACH","Aluminum Corporation of China Limited"
"NYSE:AMBR","Amber Road, Inc."
"NYSE:ABEV","Ambev S.A."
"NYSE:AMC","AMC Entertainment Holdings, Inc."
"NYSE:AMFW","Amec Plc Ord"
"NYSE:AEE","Ameren Corporation"
"NYSE:AMRC","Ameresco, Inc."
"NYSE:AMX","America Movil, S.A.B. de C.V."
"NYSE:AAT","American Assets Trust, Inc."
"NYSE:AXL","American Axle & Manufacturing Holdings, Inc."
"NYSE:ACC","American Campus Communities Inc"
"NYSE:AEO","American Eagle Outfitters, Inc."
"NYSE:AEP","American Electric Power Company, Inc."
"NYSE:AEL","American Equity Investment Life Holding Company"
"NYSE:AXP","American Express Company"
"NYSE:AFA","American Financial Group, Inc."
"NYSE:AFG","American Financial Group, Inc."
"NYSE:AFGE","American Financial Group, Inc."
"NYSE:AFGH","American Financial Group, Inc."
"NYSE:AFW","American Financial Group, Inc."
"NYSE:AMH","American Homes 4 Rent"
"NYSE:AMH^A","American Homes 4 Rent"
"NYSE:AMH^B","American Homes 4 Rent"
"NYSE:AMH^C","American Homes 4 Rent"
"NYSE:AMH^D","American Homes 4 Rent"
"NYSE:AMH^E","American Homes 4 Rent"
"NYSE:AIG","American International Group, Inc."
"NYSE:AIG.WS","American International Group, Inc."
"NYSE:AMID","American Midstream Partners, LP"
"NYSE:ARL","American Realty Investors, Inc."
"NYSE:ARA","American Renal Associates Holdings, Inc"
